"区市町村
コード",区市町村,施設名,所在地住所,緯度,経度,洪水,崖崩れ、土石流及び地滑り,高潮,地震,津波,大規模な火事,内水氾濫,火山現象,その他,"エレベーター有/
避難スペースが１階",スロープ等,点字ブロック,車椅子使用者対応トイレ,"その他
（具体的に）"
131121,世田谷区,砧南中学校,世田谷区鎌田3-13-20,35.62145,139.613673,1,,,,,,,,,,,,○,
131121,世田谷区,宮坂区民センター,世田谷区宮坂1-24-6,35.647947,139.64476,1,1,,,,,1,,,○,○,○,○,誘導鈴・自動ドア・オストメイト設備・授乳室・おむつ交換台
131121,世田谷区,池之上青少年会館,世田谷区代沢2-37-18,35.659349,139.673361,,1,,,,,,,,○,○,○,○,オストメイト設備
131121,世田谷区,成城さくら児童館,世田谷区成城3-18-23,35.634124,139.597605,,1,,,,,,,,,,,○,
131121,世田谷区,瀬田地区会館,世田谷区瀬田4-18-11,35.62141,139.627342,,1,,,,,,,,○,,,,
131121,世田谷区,尾山台地区会館,世田谷区等-力2-17-14,35.605684,139.652563,,1,,,,,,,,○,,,,
131121,世田谷区,上野毛地区会館,世田谷区中町2-33-11,35.611467,139.640931,,1,,,,,,,,○,,,○,
131121,世田谷区,池尻区民集会所,世田谷区池尻3-27-21,35.650093,139.678684,1,1,,,,,1,,,○,○,○,○,
131121,世田谷区,経堂地区会館,世田谷区経堂3-37-13,35.652044,139.63218,1,,,,,,1,,,○,○,,○,誘導鈴・自動ドア・オストメイト設備・おむつ交換台
131121,世田谷区,下馬地区会館,世田谷区下馬4-13-4,35.636136,139.678933,1,,,,,,1,,,○,○,,○,誘導鈴・自動ドア・オストメイト設備・おむつ交換台
131121,世田谷区,上馬地区会館,世田谷区上馬4-10-17,35.635299,139.662542,1,,,,,,1,,,○,○,○,○,誘導鈴・自動ドア・オストメイト設備・授乳室・おむつ交換台
131121,世田谷区,北沢タウンホール,世田谷区北沢2-8-18,35.662234,139.669691,1,,,,,,1,,,○,○,○,○,授乳室・オストメイト設備・ベビーベッド
131121,世田谷区,松沢区民集会所,世田谷区赤堤5-31-5,35.665738,139.638358,1,,,,,,1,,,○,○,○,○,オストメイト設備
131121,世田谷区,玉川区民会館,世田谷区等-力3-4-1,35.605972,139.652575,1,,,,,,,,,○,,,○,
131121,世田谷区,都立園芸高校,世田谷区深沢5-38-1,35.619086,139.648587,1,,,,,,,,,,,,,
131121,世田谷区,東京都市大学等々力キャンパス,世田谷区等-力8-9-18,35.613824,139.651053,1,,,,,,,,,,,,,
131121,世田谷区,祖師谷小学校,世田谷区祖師谷3-49-1,35.646044,139.604631,1,,,,,,,,,○,○,,,
131121,世田谷区,千歳小学校,世田谷区成城9-6-1,35.651864,139.59792,1,,,,,,,,,○,○,,○,オストメイト設備
131121,世田谷区,希望丘複合施設（区民集会所）,世田谷区船橋6-25-1,35.659484,139.620832,1,,,,,,,,,○,○,○,○,オストメイト設備
131121,世田谷区,山野小学校,世田谷区砧6-7-1,35.643609,139.613305,1,,,,,,,,,○,,,○,
